"First Name","Last Name","Phone","Email","Notes","Days Since Last Appointment"
"Rocky","Balboa","(203) 832-4011","rocky@gmail.com","",""
"Apollo","Creed","(203) 832-4011","anomani@seas.upenn.edu","",""
"Ben","Franklin","(203) 832-4011","anomani@seas.upenn.edu","",""
"Kyrie","Irving","203999999","kyrie@gmail.com","",""
"Lebron","James","(203) 832-4011","anomani@seas.upenn.edu","",""
"Dwayne","Johnson","(111) 111-1111","teribehn@gmail.com","",""
"Abe","Lincoln","(203) 832-4011","abe.lincoln@gmail.com","",""
"Jane","McTest","(123) 555-0101","jane.mctest@example.com","","1"
"George","Washington","","","",""
"a","s","(203) 832-4011","anomani@seas.upenn.edu","",""
"v","v","","","",""
