Name,Phone,Social Media
"Barber G","(908) 928-3368","https://www.instagram.com/barberrshop_g/"
"Marmolejos JCM","(973) 489-0053","https://www.instagram.com/jcmmarmolejos/"
"Jerseystyle ( Haircuts , Braids ,Trenzas )","(862) 703-6917","https://www.instagram.com/jerseystylebarbershop/"
"AngelBarberStyle","(862) 424-2155","https://www.instagram.com/Jesusmendoza5687/"
"Keviin Studio Barbershop","(973) 417-2753","https://www.facebook.com/kevin.navarrete.1253/; https://www.instagram.com/9734172753/"
"RAFABARBERUSA","(862) 320-7696","https://www.instagram.com/rafaelbarberusa/"
"Acxel Barber 🇧🇷","(908) 422-8715","https://www.facebook.com/acxel.galdino/; https://www.instagram.com/galdino_027/"
"Brazilian Barbershop","(862) 944-2539","https://www.instagram.com/brazilianbarbershop_/"
"Vinicius Barber","(862) 241-4135","https://www.instagram.com/viniciusbarber_newark/"
"DuoAmazonico Makeup Artist","(413) 326-2324","https://www.facebook.com/guidokun.barbeshopelukeria; https://www.instagram.com/guidokunmakeup/"
"Ronaldinho Barbershop","(862) 307-3880","https://www.instagram.com/paraguaybarbercut/"
"VicShears","(862) 389-8506","https://www.instagram.com/vic_shears/"
"Dgarcia Barbershop Adrian👑💎","(973) 272-5937",""
"Apex Grooming","(973) 982-6163","https://www.instagram.com/apexgrooming_/"
"VINANBARBER🇪🇨🌟","(201) 726-4467","https://www.instagram.com/vinanbarber/"
"Tush Cutz","(862) 367-3408","https://www.instagram.com/tushiemane/"
"Walter Andres Barberstudio","(908) 943-7508","https://www.instagram.com/wafbarberstudio"
"Solutions Barbershop","(551) 332-0821","https://www.instagram.com/solutionsbarbershop.jc/"
"DAVID STYLE (+593) 🇪🇨💈","(973) 417-2841","https://www.instagram.com/david_style_593/"
"Lopez Luxury Grooming - The Fade Factory","(551) 274-1816","https://www.instagram.com/thefadefactorynj/"
"Cubanbarber10","(551) 587-9563","https://www.instagram.com/cubanbarber10/"
"Cuts By Dariel","(973) 446-3227","https://www.instagram.com/dariel.35/"
"Waldo Barber Shop","(862) 340-5812","https://www.instagram.com/Argelisbarbershop/"
"JONH BARBER💈 🇭🇳","(201) 931-3185","https://www.facebook.com/JohnEude/; https://www.instagram.com/John_barber/"
"C.SOSA (Cut factory)","(201) 772-8246",""
"Carta Master Cuts","(787) 598-3080","https://www.facebook.com/cartamaster71; https://www.instagram.com/cartamaster71/"
"Anthony barber","(862) 900-6968",""
"Miguel’s Ilightbarber","(201) 969-7804","https://www.instagram.com/ilightbarbe/"
"Sarai’s Unisex Cuts","(267) 352-5157","https://www.instagram.com/mr.go.to/"
"Barberdraye","(508) 566-0400","https://www.facebook.com/andraye.davis.1; https://instagram.com/barberdraye"
"KDcutz3","(862) 400-6077","https://www.instagram.com/kd.cutz3/"
"El Flaco Hair Stylist. Abel Barber","(551) 362-1686","https://www.instagram.com/abelinobarber11/"
"Benji cutz","(862) 224-9496","https://instagram.com/benji_cutz"
"Imperial Barbershop","(201) 988-4758","https://www.facebook.com/imperialshaves; https://www.instagram.com/imperialshave/; https://instagram.com/imperialshave"
"Katherine The Barber","(201) 895-9644","https://instagram.com/kayz.kutz"
"DAREL BARBER","(862) 600-3986","https://www.instagram.com/darel_alvarez.1/"
"Barber Republic","(973) 783-1532",""
"Cesar Cuts Barber & Stylist","(973) 943-3130","https://www.facebook.com/share/p/V5VaaisZFUDbXuJ1/; https://www.instagram.com/cesarcuts/"
"Jax Chop Shop","(201) 991-7300","https://www.facebook.com/Jaxchopshop; https://instagram.com/jaxchopshop"
"Gee @ The Legends Room Grooming Bar","(973) 289-7799","https://www.instagram.com/gee_jr__23/"
"Anthony Barber","(551) 335-0370",""
"CutsbyDannyv","(973) 704-9897","https://www.instagram.com/cutsbydannyv/"
"Christian The Barber","(551) 697-3940","https://www.facebook.com/christianthebarberjc"
"Luis Barber💯💈💈💈","(551) 202-3000","https://www.instagram.com/louisgram0/"
"Tedcutz","(973) 282-6147","https://www.instagram.com/tedcutz/"
"The Fairy LocMother","(973) 865-4007","https://www.instagram.com/fairy.locmother/"
"Junior The Barber","(732) 812-7414","https://www.instagram.com/juniorclarke33/"
"Carlitos Barber","(201) 508-7597","https://www.instagram.com/carlito.s_barbersmp"
"Cuts By Jariel","",""
"OPULENT HAIR LOFT MACHOTIME CUTZ","",""
"Spanish barber","",""
"G-no Hairstyllz @Thelengensroom","",""
"A.J. @The Legends Room Grooming Bar","",""
"Alexander the barber","",""
"Juan Pablo","",""
"New School Barber Shop","",""
"Paragon Barbershop & Salon","",""
"Barbero Johan","",""
"Junior Duran","",""
